pref_code,lg_code,metropolitan_area,city_area,pref_capital,city_type,pref_name,lg_name,total_pop,pop_2010,pop_increase_2010-2015,pop_increase_rate_2010-2015,area,pop_density,age_avg,age_mid,pop_sum,pop_u15,pop_15-64,pop_o65,pop_u15_ratio,pop_15-64_ratio,pop_o65_ratio,pop_sum_m,pop_u15_m,pop_15-64_m,pop_o65_m,pop_u15_ratio_m,pop_15-64_ratio_m,pop_o65_ratio_m,pop_sum_f,pop_u15_f,pop_15-64_f,pop_o65_f,pop_u15_ratio_f,pop_15-64_ratio_f,pop_o65_ratio_f,gender_ratio,japanese,foreigner,household_sum,household_general,household_facility,household_sum_2010,household_nuclear,household_spouses_only,household_parents_children,household_father_children,household_mother_children,household_single,household_single_o65,household_spouses_senior,household_three-generations
46,46224,,,,2,é≠éôìáåß,à…ç≤és,26810,29304,-2494,-8.5,393,68,53.6,58.5,26810,2974,13289,10385,11.2,49.9,39,12344,1545,6533,4188,12.6,53.3,34.1,14466,1429,6756,6197,9.9,47,43.1,85.3,26750,57,12110,12053,57,12798,7056,3502,2433,167,954,4222,2555,2221,328
46,46225,,é≠éôìá,,2,é≠éôìáåß,à¶ó«és,75173,74809,364,0.5,231,325,47.6,49.6,75173,10777,42403,21858,14.4,56.5,29.1,35004,5544,20114,9255,15.9,57.6,26.5,40169,5233,22289,12603,13,55.5,31.4,87.1,74973,143,31435,31341,94,30478,20309,8288,8865,428,2728,9314,4530,5021,780
46,46303,,,,3,é≠éôìáåß,éOìáë∫,407,418,-11,-2.6,31,13,46.8,46.9,407,81,214,112,19.9,52.6,27.5,207,37,123,47,17.9,59.4,22.7,200,44,91,65,22,45.5,32.5,103.5,404,3,223,218,5,242,90,40,36,3,11,120,46,22,-
46,46304,,,,3,é≠éôìáåß,è\ìáë∫,756,657,99,15.1,101,8,48.3,52.4,756,131,410,215,17.3,54.2,28.4,413,74,240,99,17.9,58.1,24,343,57,170,116,16.6,49.6,33.8,120.4,755,1,427,426,1,396,167,83,57,8,19,242,89,40,-
46,46392,,,,3,é≠éôìáåß,Ç≥Ç¬Ç‹í¨,22400,24109,-1709,-7.1,304,74,53,57.6,22400,2592,11300,8472,11.6,50.5,37.9,10416,1337,5682,3379,12.9,54.6,32.5,11984,1255,5618,5093,10.5,46.9,42.6,86.9,22248,151,9690,9603,87,9969,5602,2521,2195,152,734,3178,1960,1654,402
46,46404,,,,3,é≠éôìáåß,í∑ìáí¨,10431,11105,-674,-6.1,116,90,50.6,55.5,10431,1475,5438,3518,14.1,52.1,33.7,5017,759,2793,1465,15.1,55.7,29.2,5414,716,2645,2053,13.2,48.9,37.9,92.7,10380,51,4137,4129,8,4303,2535,1142,1051,77,265,1090,686,699,274
46,46452,,,,3,é≠éôìáåß,óNêÖí¨,10327,11595,-1268,-10.9,144,72,54.2,58.7,10327,1098,5213,4007,10.6,50.5,38.8,5015,568,2813,1628,11.3,56.2,32.5,5312,530,2400,2379,10,45.2,44.8,94.4,10288,39,4323,4303,20,4653,2593,1284,935,52,322,1420,955,841,128
46,46468,,,,3,é≠éôìáåß,ëÂçËí¨,13241,14215,-974,-6.9,101,132,52.1,57.2,13241,1514,6964,4761,11.4,52.6,36,6255,784,3439,2032,12.5,55,32.5,6986,730,3525,2729,10.5,50.5,39.1,89.5,13081,159,6074,6051,23,6380,3705,1816,1327,101,461,2080,1263,1146,120
46,46482,,,,3,é≠éôìáåß,ìåã¯ó«í¨,6530,6802,-272,-4,28,235,51.3,55.9,6530,871,3347,2312,13.3,51.3,35.4,3073,471,1639,963,15.3,53.3,31.3,3457,400,1708,1349,11.6,49.4,39,88.9,6450,80,2826,2818,8,2964,1729,726,734,53,216,932,600,475,80
46,46490,,,,3,é≠éôìáåß,ã—ç]í¨,7923,8987,-1064,-11.8,163,49,56.3,61.3,7923,817,3704,3402,10.3,46.7,42.9,3676,398,1907,1371,10.8,51.9,37.3,4247,419,1797,2031,9.9,42.3,47.8,86.6,7882,41,3442,3430,12,3804,2058,1002,687,70,299,1110,764,657,113
46,46491,,,,3,é≠éôìáåß,ìÏëÂã˜í¨,7542,8815,-1273,-14.4,214,35,58,62.7,7542,713,3391,3437,9.5,45,45.6,3510,369,1767,1373,10.5,50.4,39.1,4032,344,1624,2064,8.5,40.3,51.2,87.1,7524,18,3559,3537,22,4005,1942,1055,574,58,255,1325,914,724,118
46,46492,,,,3,é≠éôìáåß,äÃïtí¨,15664,17160,-1496,-8.7,308,51,53.9,58.7,15664,1760,7774,6125,11.2,49.6,39.1,7466,934,3978,2549,12.5,53.3,34.2,8198,826,3796,3576,10.1,46.3,43.6,91.1,15597,65,6974,6950,24,7518,4147,1953,1566,126,502,2361,1582,1265,203
46,46501,,,,3,é≠éôìáåß,íÜéÌéqí¨,8135,8696,-561,-6.5,137,59,52.1,56.3,8135,1056,4165,2907,13,51.2,35.8,3815,547,2101,1162,14.4,55.1,30.5,4320,509,2064,1745,11.8,47.8,40.4,88.3,8123,12,3741,3720,21,3946,2278,1133,798,64,283,1290,786,664,64
46,46502,,,,3,é≠éôìáåß,ìÏéÌéqí¨,5745,6218,-473,-7.6,110,52,51.3,55.3,5745,766,3074,1899,13.3,53.6,33.1,2839,400,1658,779,14.1,58.4,27.5,2906,366,1416,1120,12.6,48.8,38.6,97.7,5736,7,2727,2720,7,2834,1617,784,575,60,198,986,510,432,30
46,46505,,,,3,é≠éôìáåß,âÆãvìáí¨,12913,13589,-676,-5,540,24,49.7,53.7,12913,1891,6967,4049,14.7,54,31.4,6311,956,3602,1750,15.2,57.1,27.7,6602,935,3365,2299,14.2,51,34.8,95.6,12840,73,6133,6123,10,6248,3306,1583,1155,80,488,2385,1034,841,174
46,46523,,,,3,é≠éôìáåß,ëÂòaë∫,1530,1765,-235,-13.3,88,17,53.9,57.8,1530,175,760,595,11.4,49.7,38.9,751,100,417,234,13.3,55.5,31.2,779,75,343,361,9.6,44,46.3,96.4,1530,-,709,708,1,831,408,186,125,22,75,252,138,119,17
46,46524,,,,3,é≠éôìáåß,âFåüë∫,1722,1932,-210,-10.9,103,17,54.9,59.6,1722,201,868,653,11.7,50.4,37.9,811,99,436,276,12.2,53.8,34,911,102,432,377,11.2,47.4,41.4,89,1719,3,866,860,6,935,471,271,128,9,63,360,205,149,5
